# Yahoo position eligibility, generated by make_reference.py
# Re-run that script when the workbooks are republished.
# Hand edits are fine: this is plain CSV, one player per
# line, and '#' starts a comment.
name,positions
Jack Drury,C
Warren Foegele,LW/RW
Casey Mittelstadt,C/LW
William Karlsson,C
Troy Terry,RW
Cole Koepke,LW
Tyler Seguin,C/RW
Adam Boqvist,D
Steven Lorentz,LW/RW
Connor Zary,C/LW/RW
Ryan Greene,C/RW
Zemgus Girgensons,LW
Barrett Hayton,C
Teuvo Teravainen,LW/RW
Teddy Blueger,C
Danila Yurov,C/RW
Trent Frederic,C/LW/RW
Zachary L'Heureux,LW
Connor Brown,RW
Noel Acciari,C/RW
Pius Suter,C/LW
Matias Maccelli,LW/RW
Paul Cotter,LW
Kirby Dach,C/RW
Michael Carcone,LW
Michael Eyssimont,LW
Samuel Helenius,C
Casey Cizikas,C/LW
Gage Goncalves,C/LW
Michael Rasmussen,C/LW
Nicolas Roy,C/RW
Nino Niederreiter,LW/RW
Kent Johnson,LW/RW
Jaden Schwartz,C/LW
Jason Dickinson,C
Jake Christiansen,D
Brandon Duhaime,LW/RW
Nick Foligno,C/LW
Aatu Raty,C
Justin Sourdif,C/RW
William Carrier,LW
Alex Steeves,C/LW
Filip Chytil,C
Alex Texier,LW/RW
Nic Dowd,C
Sam Carrick,C
Nick Cousins,LW
Colton Sissons,C/RW
J.T. Compher,C
Nick Lardis,LW
Vladislav Namestnikov,C/LW
Phillip Danault,C
Sean Kuraly,C/RW
Nick Bjugstad,C
Anthony Beauvillier,LW
Cody Glass,C/RW
Ilya Mikheyev,LW/RW
Ethen Frank,RW
Marat Khusnutdinov,C/LW
Sam Steel,C/LW
Dominic James,C
Liam Ohgren,LW
Nils Hoglander,LW
Ondrej Palat,LW
Blake Lizotte,C
Arttu Hyry,C/RW
Alex Kerfoot,C/LW/RW
Nate Danielson,C
Alex Bump,LW
Victor Olofsson,LW/RW
Conor Geekie,C
Joe Veleno,C
Berkly Catton,C/LW
Eric Robinson,LW/RW
Radek Faksa,C
Ryan Strome,C
Brandon Tanev,LW/RW
Reid Schaefer,LW
Kasperi Kapanen,RW
Joel Armia,RW
Frederick Gaudreau,C/RW
Pontus Holmberg,RW
Denver Barkey,LW
Max Domi,C/LW
Mason Appleton,RW
Maxim Tsyplakov,LW/RW
Adam Gaudette,C/RW
Adam Edstrom,C/LW
Elmer Soderblom,LW/RW
Andrew Mangiapane,LW/RW
Braeden Bowman,LW/RW
Max Shabanov,RW
Brad Lambert,C
Colin Blackwell,C/RW
Liam O'Brien,LW/RW
Otto Stenberg,C
Stefan Noesen,RW
Ozzy Wiesblatt,RW
Miles Wood,LW
Oliver Moore,C/RW
Mark Jankowski,C
Zack Ostapchuk,C
Corey Perry,RW
Jeffrey Viel,LW
Jonathan Drouin,LW/RW
Jesper Boqvist,C/LW
Taylor Raddysh,RW
Tim Washe,C
Nico Sturm,C
Daniil But,LW/RW
Jonathan Lekkerimaki,RW
Isak Rosen,RW
Jeff Malott,LW
Max Sasson,C/LW
Nikita Grebenkin,LW/RW
Alex Turcotte,C/LW
Fedor Svechkov,C
Alex Holtz,RW
Josh Samanski,C
Hendrix Lapierre,C
Lars Eller,C
Matt Rempe,RW
Jonatan Berggren,RW
Lenni Hameenaho,RW
Jaroslav Chmelar,RW
Isac Lundestrom,C
Andre Burakovsky,LW/RW
Filip Hallander,LW
Anthony Duclair,LW
Logan O'Connor,RW
Ben Meyers,C/LW
Jacob Quillan,C
Landon Slaggert,LW/RW
Isaac Howard,LW
Jonah Gadjovich,LW
Ryan Winterton,RW
Oskar Back,C/LW
Justin Kirkland,C
Jonas Rondbjerg,RW
