# Fantrax position eligibility, generated by make_reference.py
# Re-run that script when the workbooks are republished.
# Hand edits are fine: this is plain CSV, one player per
# line, and '#' starts a comment.
name,positions
Dennis Hildeby,G
Ethen Frank,RW
Josh Anderson,LW/RW
Noel Acciari,C/RW
Devin Cooley,G
Justin Hryckowian,C/LW
Nick Lardis,RW
Anthony Beauvillier,LW/RW
Mark Kastelic,C/RW
Max Shabanov,RW
Alex Kerfoot,C/LW/RW
Morgan Barron,C/LW
Nate Danielson,C
Nils Hoglander,LW/RW
Justin Sourdif,C
Phillip Danault,C
Marat Khusnutdinov,C/LW
Connor Dewar,C/LW
Teddy Blueger,C/LW
Joonas Korpisalo,G
Jack McBain,C/LW
Alex Texier,LW
Charlie Lindgren,G
Corey Perry,RW
Samuel Ersson,G
Ville Husso,G
Arttu Hyry,C/RW
Sam Steel,C/LW
Yakov Trenin,LW/RW
Daniil Tarasov (G),G
Joel Armia,RW
Nino Niederreiter,LW
Alexei Toropchenko,LW/RW
Adam Klapka,RW
Liam Ohgren,LW
Elvis Merzlikins,G
Vitek Vanecek,G
Michael McCarron,C
Arvid Soderblom,G
Alex Bump,LW
Keegan Kolesar,RW
Andre Burakovsky,LW/RW
Brad Lambert,RW
Adam Gaudette,C/RW
Vladislav Namestnikov,C/LW
Tanner Jeannot,LW/RW
Michael Rasmussen,C/LW
Steven Lorentz,C/LW/RW
Jake Christiansen,D
Andrew Mangiapane,LW/RW
Denver Barkey,C/LW
Kasperi Kapanen,RW
Taylor Raddysh,RW
Zachary L'Heureux,LW/RW
Anthony Duclair,LW/RW
Mason Appleton,RW
Pontus Holmberg,C/LW
Jason Dickinson,C
Martin Pospisil,C/RW
Blake Lizotte,C
Nick Bjugstad,C/RW
Sean Kuraly,C
Oliver Moore,C/LW
Stefan Noesen,LW/RW
Jonathan Lekkerimaki,RW
Tye Kartye,LW
Trent Frederic,LW/RW
Jonatan Berggren,LW/RW
Colton Sissons,C
Lenni Hameenaho,RW
Alex Holtz,RW
Dominic James,C/LW
Brandon Duhaime,LW/RW
Isak Rosen,LW
William Carrier,LW/RW
Marcus Foligno,LW
Max Sasson,C
Justus Annunen,G
Conor Geekie,C/RW
Zemgus Girgensons,C/LW
Ondrej Palat,LW
Stuart Skinner,G
Colin Blackwell,LW/RW
Nic Dowd,C
Daniil But,LW
Eric Robinson,LW
Cole Koepke,LW
Logan O'Connor,RW
Alex Turcotte,C/LW
Miles Wood,LW
Dakota Joshua,LW
Sam Carrick,C
Colton Dach,C/LW
Nick Cousins,LW
Casey Cizikas,C/LW
Nick Foligno,LW
Radek Faksa,C
Filip Hallander,C
Mark Jankowski,C/LW
Fedor Svechkov,C
Hendrix Lapierre,C
Elmer Soderblom,LW
Aatu Raty,C
Ryan Winterton,C/RW
Jesper Boqvist,C/RW
Alex Steeves,LW
Maxim Tsyplakov,LW
Isac Lundestrom,C
Isaac Howard,LW
Brandon Tanev,LW/RW
Otto Stenberg,C/LW
Lars Eller,C
Paul Cotter,LW
Garnet Hathaway,RW
Ozzy Wiesblatt,RW
Josh Samanski,C
Adam Edstrom,LW
Oskar Back,C/LW
Jaroslav Chmelar,RW
Nico Sturm,C
Jonas Rondbjerg,RW
Joe Veleno,C
Ben Meyers,C/LW
Reid Schaefer,LW
Nikita Grebenkin,LW
Jeffrey Viel,LW
Samuel Helenius,C
Tim Washe,C
Landon Slaggert,LW
Jonah Gadjovich,LW/RW
Matt Rempe,RW
Justin Kirkland,C/RW
Zack Ostapchuk,C/LW
Jeff Malott,LW
Jacob Quillan,C
Liam O'Brien,LW
