# Player ages, generated by make_reference.py
# Re-run that script when the workbooks are republished.
# Hand edits are fine: this is plain CSV, one player per
# line, and '#' starts a comment.
name,age
Quinton Byfield,24
John Tavares,35
Travis Sanheim,30
Joey Daccord,30
Josh Manson,34
Sean Walker,31
Arturs Silovs,25
Yaroslav Askarov,24
Simon Nemec,22
Martin Fehervary,26
Jimmy Snuggerud,22
Neal Pionk,31
Pyotr Kochetkov,27
Victor Hedman,35
Jake McCabe,32
Thatcher Demko,30
Owen Tippett,27
Brayden McNabb,35
Artyom Levshunov,20
Brayden Point,30
Vincent Trocheck,33
Connor Bedard,21
Nikita Zadorov,31
Brandon Bussi,28
Brady Skjei,32
Mark Stone,34
Matt Roy,31
Gustav Forsling,30
Cam York,25
Ivan Provorov,29
Mike Matheson,32
Braden Schneider,24
Ryan Hartman,31
Ryan O'Reilly,35
Sam Bennett,30
Alex Laferriere,24
Dylan Strome,29
Adam Larsson,33
MacKenzie Blackwood,29
Mathew Barzal,29
Will Smith,21
Brock Nelson,34
Nick Schmaltz,30
Alex Romanov,26
Morgan Rielly,32
Jake DeBrusk,29
Esa Lindell,32
Filip Gustavsson,28
Aaron Ekblad,30
Luca Cagnoni,21
Alex Ovechkin,40
Gabriel Vilardi,27
Ivan Demidov,20
Mason McTavish,23
Brock Boeser,29
Jake Walman,30
Devon Toews,32
Ben Chiarot,35
Jeremy Lauzon,29
Marco Rossi,24
Radko Gudas,36
Jamie Drysdale,24
Denton Mateychuk,22
Dylan Samberg,27
Evgeni Malkin,40
Jamie Oleksiak,33
Mikey Anderson,27
William Borgen,29
Kevin Bahl,26
Vladislav Gavrikov,30
Alex Lyon,33
Nick Seeler,33
Sean Durzi,27
Zach Whitecloud,29
Seth Jarvis,24
Frederik Andersen,36
Sam Dickinson,20
Nazem Kadri,35
Tristan Jarry,31
Jared McCann,30
Bobby McMann,30
Tyler Kleven,24
William Eklund,23
Darcy Kuemper,36
Brad Marchand,38
Blake Coleman,34
Jacob Middleton,30
Joseph Woll,28
Jaccob Slavin,32
Sam Malinski,28
Marcus Pettersson,30
Kaiden Guhle,24
Rasmus Sandin,26
Ryan Pulock,31
Shane Pinto,25
Janis Moser,26
Adin Hill,30
Mario Ferraro,27
Olen Zellweger,22
Jordan Spence,25
Oliver Ekman-Larsson,35
Alex Nedeljkovic,30
Matty Beniers,23
Anton Lundell,24
Kevin Fiala,30
Erik Cernak,29
Lawson Crouse,29
Sergei Murashov,22
Charle-Edouard D'Astous,28
Ty Emberson,26
Nico Daws,25
Michael Misa,19
Damon Severson,32
JJ Peterka,24
Tyler Bertuzzi,31
Artem Zub,29
Jordan Kyrou,28
Alex Vlasic,25
Alex Carrier,29
Ryan Leonard,21
Tom Willander,21
Drew Helleson,25
Connor Murphy,33
Dylan Demelo,33
Niko Mikkola,30
Louis Crevier,25
Matthew Robertson,25
Drew Doughty,36
Pavel Zacha,29
Emil Heineman,24
Brent Burns,41
Michael Kesselring,26
Valeri Nichushkin,31
Ryan McDonagh,37
Jordan Binnington,33
Sam Rinzel,22
Anthony Cirelli,29
Elias Pettersson (D),22
Matvei Michkov,21
Tyler Myers,36
Dante Fabbro,28
Simon Benoit,27
Cole Perfetti,24
Adam Pelech,32
Kaedan Korczak,25
Ryan Nugent-Hopkins,33
Ivan Barbashev,30
Philipp Grubauer,34
Jared Spurgeon,36
Trevor Zegras,25
Jonas Brodin,33
Matt Coronato,23
Hampus Lindholm,32
Josh Doan,24
Carter Verhaeghe,31
Matvei Gridin,20
