#,Player,Team,Pos,ADP,PTS,GP,PTS,G,A,'+/-,PIM,EVG,EVA,GWG,PPG,PPA,PPP,SOG,ATOI,FOW,BLK,HIT,GS,W,L,T/O,SO,SV,GA,SA,SV%,GAA
278,Logan Mailloux,Blues,D,—,328.1,78,34,7.4,26.1,'-6.5,48,7,25,1,0,1,1.4,112,19,0,88.7,100.8,—,—,—,—,—,—,—,—,—,—
279,Yegor Sharangovich,Flames,"C,LW,RW",—,328.1,77,36,18.6,17.1,'-9.3,19,14,14,3,4,3,6.6,132.3,16.5,100.4,34.4,27.1,—,—,—,—,—,—,—,—,—,—
280,Michael Misa,Sharks,C,205.2,327.4,72,37,14.6,22.1,0.8,27,12,19,2,2,3,5.4,112,14.4,270,38.2,51.9,—,—,—,—,—,—,—,—,—,—
281,Damon Severson,Blue Jackets,D,—,326.8,76,30,6.6,23.3,'-1.7,49,6,21,1,0,2,2.8,95.8,21.5,0,105.6,51,—,—,—,—,—,—,—,—,—,—
282,Jordan Spence,Senators,D,—,326.0,76,34,6.2,27.5,0.5,27,6,25,1,0,3,4.2,101.2,19.7,0,78.3,76.6,—,—,—,—,—,—,—,—,—,—
283,Kent Johnson,Blue Jackets,"LW,RW",—,325.5,76,38,16.8,21.5,'-1,25,15,18,2,2,3,5.5,107,13.7,24.1,33.4,22.8,—,—,—,—,—,—,—,—,—,—
284,Shane Wright,Kraken,"C,RW",—,325.2,78,36,16.1,19.9,'-6.5,21,14,15,2,2,5,6.9,100,14.2,303.6,58.2,54.4,—,—,—,—,—,—,—,—,—,—
285,Josh Manson,Avalanche,D,—,324.7,76,27,4.8,22.5,9,66,5,22,1,0,0,0.3,103.1,17.5,0,94.5,158,—,—,—,—,—,—,—,—,—,—
286,Mavrik Bourque,Predators,"C,RW",—,324.3,79,35,17.2,18.2,'-5.1,24,16,15,3,1,3,4.2,134.5,15.7,157.3,29,82.3,—,—,—,—,—,—,—,—,—,—
287,Ryan Poehling,Ducks,C,—,324.1,73,34,11.9,22.1,1.6,20,10,21,2,0,0,1,86.1,15,442.6,81.6,49.7,—,—,—,—,—,—,—,—,—,—
288,Drew Doughty,Kings,D,—,323.6,74,26,6.4,19.9,2.2,44,6,15,1,1,4,6.3,99.8,23.8,0,98.8,66.2,—,—,—,—,—,—,—,—,—,—
289,Arseny Gritsyuk,Devils,"LW,RW",—,323.6,68,36,16,19.6,1,29,15,17,2,1,2,3.5,130.5,14.6,0.8,22.7,64.3,—,—,—,—,—,—,—,—,—,—
290,Alex Killorn,Ducks,"LW,RW",—,323.3,82,32,15.5,16.7,1.9,41,13,14,2,2,2,4.3,135,16.9,18.1,29.6,78.6,—,—,—,—,—,—,—,—,—,—
291,Ryan Pulock,Islanders,D,—,322.0,74,22,4,17.7,'-3.4,25,4,17,1,0,0,2.6,103.3,19,0,135.8,110.6,—,—,—,—,—,—,—,—,—,—
292,Cam Fowler,Blues,D,—,321.2,82,33,5.7,27.7,'-6.9,27,5,19,1,1,8,9.1,89.6,21.2,0,91.2,24.2,—,—,—,—,—,—,—,—,—,—
293,Tyler Myers,Stars,D,—,321.1,77,19,4.4,14.6,4.9,58,4,14,1,0,0,0.3,97.1,17.9,0,138.5,108.3,—,—,—,—,—,—,—,—,—,—
294,Marco Kasper,Red Wings,"C,LW",—,320.1,81,33,18.3,14.2,'-3.9,33,17,13,2,2,1,2.5,124,13.2,264.5,44.7,149.5,—,—,—,—,—,—,—,—,—,—
295,Ross Colton,Predators,"C,LW",—,319.6,80,32,14.6,17.7,'-4.3,29,14,17,2,1,1,2.6,141.7,12.8,127.1,37.1,155,—,—,—,—,—,—,—,—,—,—
296,Sean Couturier,Flyers,C,—,319.5,79,34,11.7,22.8,'-0.2,36,11,21,2,1,1,3.1,128,14.3,644.2,37.1,71.1,—,—,—,—,—,—,—,—,—,—
297,Konsta Helenius,Sabres,C,206.4,318.6,74,34,14,20,1,14,12,18,2,2,2,4,114,13,114,42,64,—,—,—,—,—,—,—,—,—,—
298,Vasily Podkolzin,Oilers,"LW,RW",—,317.9,81,31,13.7,17.6,6.7,42,13,17,2,0,1,1.1,116.5,14.7,10.9,44.9,232.5,—,—,—,—,—,—,—,—,—,—
299,Evan Rodrigues,Devils,"C,LW,RW",—,316.7,80,31,13.9,16.8,1.1,42,12,15,2,1,2,4.3,143.4,14.5,267.3,26.2,87.7,—,—,—,—,—,—,—,—,—,—
300,Tony DeAngelo,Islanders,D,—,315.6,72,27,6.3,21,'-3.6,35,6,17,1,1,4,5.8,128.3,20.1,0,73.9,35.1,—,—,—,—,—,—,—,—,—,—
301,Easton Cowan,Maple Leafs,LW,—,315.5,74,36,14.3,21.6,1.4,37,13,18,2,2,4,5.3,105,14.5,0.4,35.4,81.5,—,—,—,—,—,—,—,—,—,—
302,Jordan Martinook,Hurricanes,"LW,RW",—,314.8,82,32,13.6,18.4,7.9,34,13,18,2,0,0,0,107.6,14.3,44.9,47,96.2,—,—,—,—,—,—,—,—,—,—
303,Pius Suter,Blues,"C,LW",—,314.7,76,36,17,18.6,'-4.8,26,15,15,3,1,3,3.8,119.1,16.3,313.6,33.1,59,—,—,—,—,—,—,—,—,—,—
304,Ilya Protas,Capitals,LW,—,314.6,75,39,13,26,3,35,11,23,3,2,3,5,94,14,0,32,43,—,—,—,—,—,—,—,—,—,—
305,Fabian Zetterlund,Senators,"LW,RW",—,314.2,81,31,14.7,16.4,0.3,24,12,14,2,2,2,4.5,120.8,12.7,6.1,42.1,120.7,—,—,—,—,—,—,—,—,—,—
306,Tommy Novak,Penguins,"C,LW",—,314.0,77,35,14.6,20.2,'-1.5,22,13,18,2,2,2,4.4,116.9,14.1,195,34.6,20.7,—,—,—,—,—,—,—,—,—,—
307,Andrew Copp,Red Wings,"C,LW",—,313.0,80,34,11.9,22.2,'-4.3,28,10,18,2,1,4,5.7,103.4,16.3,500,56.9,41.5,—,—,—,—,—,—,—,—,—,—
308,Sam Rinzel,Blackhawks,D,205.7,312.6,79,29,6.8,21.7,'-9.7,46,6,16,1,1,6,6.9,125,18.3,0,78.1,75.6,—,—,—,—,—,—,—,—,—,—
309,Pavel Mintyukov,Ducks,D,—,312.2,71,25,6.7,18.7,2,26,7,16,1,0,2,2.4,87,20.7,0,110.1,71.9,—,—,—,—,—,—,—,—,—,—
310,Sean Durzi,Rangers,D,—,311.9,70,27,6,20.9,'-4.6,46,5,17,1,1,4,7,88.4,19.3,0,107.9,44.6,—,—,—,—,—,—,—,—,—,—
311,Charle-Edouard D'Astous,Lightning,D,—,311.6,74,31,5.3,25.4,6.6,68,5,23,1,0,2,2.8,82.1,19.2,0,85.5,94.9,—,—,—,—,—,—,—,—,—,—
312,Nikita Zadorov,Bruins,D,—,311.5,81,27,7.1,19.9,'-3.6,102,7,19,1,0,0,0.3,101,21.2,0,105,201.7,—,—,—,—,—,—,—,—,—,—
313,Noah Cates,Flyers,C,—,311.3,77,34,13.6,20.3,'-0.1,28,11,16,2,2,4,6.1,96.4,14.2,354.9,49.7,80.3,—,—,—,—,—,—,—,—,—,—
314,Brett Kulak,Avalanche,D,—,309.9,84,18,4.7,13.8,11.3,37,5,14,1,0,0,0.3,101.7,19.2,0,111.8,40.5,—,—,—,—,—,—,—,—,—,—
315,Erik Haula,Kings,"C,LW",—,308.6,79,30,13.9,16.1,1.3,50,11,11,2,2,4,6.6,113.3,15.1,409.3,43,103.7,—,—,—,—,—,—,—,—,—,—
316,Simon Nemec,Flames,D,198.3,307.1,73,25,7.5,17.6,'-12,36,7,12,1,1,5,6.3,101,20.5,0,112.2,28.4,—,—,—,—,—,—,—,—,—,—
317,James Hagens,Bruins,C,198.7,306.8,74,35,15,20,'-3,44,13,17,2,2,3,5,122,16,14,23,65,—,—,—,—,—,—,—,—,—,—
318,Braden Schneider,Rangers,D,—,306.7,83,21,4.7,16.6,'-5.2,31,4,16,1,0,0,0.2,90.7,18.2,0,140.5,161.3,—,—,—,—,—,—,—,—,—,—
319,Jack Roslovic,Maple Leafs,"C,RW",203.4,306.5,75,33,16.3,16.9,1.3,22,15,15,3,2,2,3.8,117.5,13.4,154.5,25.1,37.5,—,—,—,—,—,—,—,—,—,—
320,Eetu Luostarinen,Panthers,LW,—,306.4,81,30,11.6,18.6,8.3,34,11,17,2,0,0,1,96.8,15.5,104.7,56.7,139.4,—,—,—,—,—,—,—,—,—,—
321,Connor Zary,Flames,"C,LW,RW",—,306.3,73,35,16.5,18.2,'-9.3,27,14,13,3,2,5,7.3,121.4,16.2,106.3,29.2,50.7,—,—,—,—,—,—,—,—,—,—
322,Gabe Perreault,Rangers,RW,206.4,305.7,75,34,15,19.3,'-4.7,27,13,16,2,2,3,4.9,115,17.6,1.2,34.6,59,—,—,—,—,—,—,—,—,—,—
323,Liam Ohgren,Canucks,LW,—,305.3,76,32,16.4,15.6,'-11.6,17,15,14,2,1,1,2.7,131,16.3,1.7,44.4,92.7,—,—,—,—,—,—,—,—,—,—
324,Mattias Samuelsson,Sabres,D,135.1,304.6,66,23,6,16.7,1.6,29,6,16,1,0,0,0.1,78.3,22.7,0,127.9,125.9,—,—,—,—,—,—,—,—,—,—
325,Artem Zub,Senators,D,—,304.6,74,25,4.9,19.9,0.4,47,5,19,1,0,0,0.3,78.4,20.5,0,123.6,117.6,—,—,—,—,—,—,—,—,—,—
326,Jean-Gabriel Pageau,Islanders,C,—,303.6,78,34,14.4,19.6,'-2.7,18,13,17,2,0,0,3.1,89.1,15.1,650.3,57.8,150.7,—,—,—,—,—,—,—,—,—,—
327,Philip Broberg,Blues,D,146.1,303.4,72,31,4.9,25.7,'-6.3,23,5,20,1,0,6,6.1,81.8,21.4,0,98,42.6,—,—,—,—,—,—,—,—,—,—
328,Stephen Halliday,Senators,"C,LW",—,302.1,76,33,13.5,19.9,0.3,28,12,14,2,2,6,8,106,12,147.9,29.5,83.8,—,—,—,—,—,—,—,—,—,—
329,Mario Ferraro,Jets,D,—,301.8,79,20,5.5,15,'-5.7,42,5,14,1,0,0,0.3,80.9,19.5,0,146.8,146.1,—,—,—,—,—,—,—,—,—,—
330,Simon Holmstrom,Islanders,"LW,RW",—,301.6,78,36,15.2,20.6,'-2.8,21,14,17,3,1,2,3.3,88,15.9,3.1,47.8,29.9,—,—,—,—,—,—,—,—,—,—
331,Mikey Anderson,Kings,D,—,301.4,79,23,4.8,18.1,2.1,31,5,18,1,0,0,0,74.2,21.1,0,129.2,114.5,—,—,—,—,—,—,—,—,—,—
332,Brett Pesce,Devils,D,—,300.8,75,17,4.2,12.4,1.4,28,4,12,1,0,0,0.2,90.1,20.2,0,141.7,29.8,—,—,—,—,—,—,—,—,—,—
333,Alexandre Carrier,Canadiens,D,—,299.1,77,21,4.5,16.3,2.9,41,4,16,1,0,0,0.5,66.2,17.6,0,140.5,57.6,—,—,—,—,—,—,—,—,—,—
334,Dmitri Voronkov,Blue Jackets,LW,—,298.8,72,32,15.7,16.7,'-0.8,49,10,14,2,5,2,7.8,102.5,12.2,38,31.5,80.2,—,—,—,—,—,—,—,—,—,—
335,Adam Lowry,Jets,C,—,298.2,79,33,12.8,20,'-5.2,34,12,19,2,0,0,1.3,96.8,16.8,607.6,62.1,184.8,—,—,—,—,—,—,—,—,—,—
336,Alex Bump,Flyers,LW,—,298.2,74,31,16,15,0,19,15,14,3,1,1,2,118,12,0,32,64,—,—,—,—,—,—,—,—,—,—
337,Alex Newhook,Canadiens,"C,LW",—,297.8,74,33,14.7,17.8,2.3,26,13,16,2,1,1,3,109.1,13.8,242.1,29.6,75.6,—,—,—,—,—,—,—,—,—,—
338,Jaden Schwartz,Avalanche,"C,LW",—,296.8,68,30,13.5,16.6,6.2,23,11,15,2,2,1,5.1,99.4,14.1,42.1,37.3,41,—,—,—,—,—,—,—,—,—,—
339,Jonas Brodin,Wild,D,—,296.5,66,21,4.8,16.1,4.5,26,5,15,1,0,0,0.3,79.7,19.8,0,122,28.6,—,—,—,—,—,—,—,—,—,—
340,Zeev Buium,Canucks,D,204.2,296.4,77,34,6.6,27.7,'-16,39,5,18,1,2,10,11.5,88,21.8,0,75.8,44.8,—,—,—,—,—,—,—,—,—,—
341,Matt Savoie,Oilers,"C,RW",206.5,295.8,78,31,12.4,18.7,6.2,26,11,18,2,1,1,1.8,111,14.7,73.4,30.7,42.9,—,—,—,—,—,—,—,—,—,—
342,Nick Paul,Maple Leafs,"C,LW",—,293.9,81,30,14.7,15.1,1.3,34,13,13,2,1,2,2.8,107.3,13.2,402.5,40.5,93.2,—,—,—,—,—,—,—,—,—,—
343,Scott Laughton,Kings,"C,LW",—,293.7,79,27,13.8,13.6,1.4,40,12,12,2,0,0,0.6,114.2,14.4,421.6,49.7,146,—,—,—,—,—,—,—,—,—,—
344,Connor Murphy,Oilers,D,—,293.2,73,16,4.4,12,6.5,53,4,11,1,0,0,0,70.7,17.4,0,142.2,138.1,—,—,—,—,—,—,—,—,—,—
345,Adam Pelech,Islanders,D,—,291.8,72,22,4.1,17.6,'-3.7,42,4,17,1,0,0,0.1,101.6,21,0,112.6,72.1,—,—,—,—,—,—,—,—,—,—
346,Rasmus Ristolainen,Flyers,D,—,291.6,69,21,4.2,16.8,'-0.2,26,4,14,1,0,2,2.4,97.2,21.5,0,107.3,144.3,—,—,—,—,—,—,—,—,—,—
347,Drew O'Connor,Canucks,"LW,RW",—,291.5,84,31,15.7,15.5,'-11.7,39,14,14,2,0,0,0.7,127.4,14.9,25.5,42.6,79.7,—,—,—,—,—,—,—,—,—,—
348,Niko Mikkola,Panthers,D,—,290.7,79,20,5.5,14.1,11.1,57,5,14,1,0,0,0,88,20.5,0,99.9,141.5,—,—,—,—,—,—,—,—,—,—
349,Jalen Chatfield,Hurricanes,D,—,290.5,77,23,6.7,16,10.7,35,7,16,1,0,0,0,101.2,19.6,0,73.8,72.8,—,—,—,—,—,—,—,—,—,—
350,Linus Karlsson,Canucks,RW,—,289.1,76,31,13.9,17.6,'-11.5,32,11,15,2,2,2,4.5,124.4,15.8,56.3,37.3,104.4,—,—,—,—,—,—,—,—,—,—
351,John Marino,Utah,D,205.7,289.0,77,30,3.6,26.8,1.8,26,4,26,1,0,0,2.1,73.6,21.1,0,86.2,57.1,—,—,—,—,—,—,—,—,—,—
352,Denton Mateychuk,Blue Jackets,D,—,288.7,75,26,7.1,19,'-1.4,24,7,18,1,0,1,1.1,83,18.4,0,96,39.2,—,—,—,—,—,—,—,—,—,—
353,Alexander Romanov,Islanders,D,—,288.3,77,15,4.6,10,'-3.5,31,5,10,1,0,0,0.5,85.8,18.8,0,149.5,186.7,—,—,—,—,—,—,—,—,—,—
354,Dalibor Dvorsky,Blues,C,—,288.3,76,29,17.9,10.8,'-4.5,32,9,8,3,9,3,11.9,111,14.8,175.8,23,64.1,—,—,—,—,—,—,—,—,—,—
355,Kaiden Guhle,Canadiens,D,—,288.1,64,20,4.9,15.5,2.9,50,5,15,1,0,0,0,72.8,19.7,0,125.4,117.2,—,—,—,—,—,—,—,—,—,—
356,Ryan Strome,Flames,C,—,287.9,81,36,12.4,24,'-10.2,55,11,21,2,1,3,3.9,110.5,15.9,353.5,30.6,55.3,—,—,—,—,—,—,—,—,—,—
357,Barrett Hayton,Utah,C,—,286.7,75,30,13.6,15.9,1,44,10,13,2,4,2,6.2,107.5,13.4,458.9,30.3,37,—,—,—,—,—,—,—,—,—,—
358,Victor Olofsson,Knights,"LW,RW",—,286.0,72,28,12.8,14.9,4.5,18,9,11,2,4,3,7,116.6,13.3,1.2,21.7,33.2,—,—,—,—,—,—,—,—,—,—
359,Isaac Howard,Oilers,LW,—,286.0,78,28,14.5,13.8,5.7,33,14,13,2,0,1,0.9,115,12.9,0,27.1,58.8,—,—,—,—,—,—,—,—,—,—
360,Frank Vatrano,Ducks,"LW,RW",—,285.8,79,25,13.8,10.9,1.4,62,12,10,2,1,1,2,123.5,11.3,7.4,41.4,108.1,—,—,—,—,—,—,—,—,—,—
361,Zayne Parekh,Flames,D,202.2,285.3,73,23,8.2,15.1,'-9.7,34,7,9,1,1,6,7.8,113,18.6,0,77.8,55.1,—,—,—,—,—,—,—,—,—,—
362,Casey Mittelstadt,Bruins,"C,LW",—,284.7,75,37,12.7,24.8,'-2.3,25,11,20,2,2,4,7.5,82,14.8,281.7,25.1,30.5,—,—,—,—,—,—,—,—,—,—
363,Yan Kuznetsov,Flames,D,—,284.7,75,17,7.2,9.9,'-12,37,7,10,1,0,0,0.1,115,19.9,0,122.2,75.1,—,—,—,—,—,—,—,—,—,—
364,Alex Vlasic,Blackhawks,D,—,284.4,82,22,3.8,18.5,'-11.9,27,4,18,1,0,0,0.3,84,21.5,0,135.2,47,—,—,—,—,—,—,—,—,—,—
365,Radko Gudas,Panthers,D,—,284.1,72,16,3.3,13,8,67,3,13,1,0,0,0,83.6,16.3,0,121.1,283.8,—,—,—,—,—,—,—,—,—,—
366,Michael Amadio,Senators,"LW,RW",—,283.5,75,31,13.4,17.2,0.4,24,13,17,2,0,0,2,93.2,15.7,65.9,45.6,97.1,—,—,—,—,—,—,—,—,—,—
367,Mason Lohrei,Bruins,D,—,282.3,75,26,5.2,20.4,'-2.7,28,4,15,1,1,5,6.2,74.7,17,0,95.3,36.6,—,—,—,—,—,—,—,—,—,—
368,Ben Chiarot,Red Wings,D,—,282.2,80,15,4.7,9.9,'-5.6,60,5,10,1,0,0,0.6,91.1,19.6,0,142.4,139.1,—,—,—,—,—,—,—,—,—,—
369,Kirby Dach,Canadiens,"C,RW",—,280.8,57,30,9.8,20.4,1.8,36,9,18,2,1,3,6.1,93.3,13.8,139.5,40.6,79.3,—,—,—,—,—,—,—,—,—,—
370,Calum Ritchie,Islanders,"C,RW",—,280.3,70,30,14.5,15.7,'-2.3,28,13,12,2,2,4,5.9,101,14.1,125.3,32.4,51.8,—,—,—,—,—,—,—,—,—,—
371,Matias Maccelli,Islanders,"LW,RW",—,279.7,70,36,13.1,22.8,'-2.5,19,12,18,2,2,5,6.2,94,14.6,4.1,17.9,26.5,—,—,—,—,—,—,—,—,—,—
372,Denver Barkey,Flyers,LW,—,279.2,72,34,10.9,23.4,'-0.1,30,9,19,2,2,4,6.3,84,13.6,82.9,32.2,75,—,—,—,—,—,—,—,—,—,—
373,Nick Seeler,Flyers,D,—,279.2,78,13,3.7,9.3,'-0.2,42,4,9,1,0,0,0,78.4,15.4,0,149.6,107.4,—,—,—,—,—,—,—,—,—,—
374,Nicholas Robertson,Penguins,RW,—,279.0,75,28,15.2,13.2,'-1.3,20,14,12,2,1,1,2.4,110.6,12,2,33.3,70.5,—,—,—,—,—,—,—,—,—,—
375,Filip Chytil,Canucks,C,—,278.5,66,30,16.4,13.4,'-9.7,28,15,11,3,2,2,3.5,127.4,15.2,291.7,24.2,39.6,—,—,—,—,—,—,—,—,—,—
376,Ryan Donato,Blackhawks,"C,LW,RW",—,278.4,76,32,15.3,16.5,'-7.6,37,15,16,2,0,1,2.4,123.9,13,177.6,19.5,85.7,—,—,—,—,—,—,—,—,—,—
377,Max Shabanov,Wild,RW,—,277.7,70,32,11.4,20.2,3.5,23,10,15,2,1,5,6,89,14.1,0,29.4,60.3,—,—,—,—,—,—,—,—,—,—
378,Andrei Kuzmenko,Penguins,"LW,RW",—,277.5,75,32,13.4,18.6,'-1.3,24,8,13,2,5,6,11.4,89.4,14.2,0.4,22,30.3,—,—,—,—,—,—,—,—,—,—
379,Marcus Pettersson,Rangers,D,—,277.0,78,23,3.7,19.2,'-5.2,50,4,19,1,0,0,0,69.1,20.1,0,126.2,86.2,—,—,—,—,—,—,—,—,—,—
380,Olen Zellweger,Sabres,D,—,276.5,74,21,6.6,14.4,1.4,34,6,13,1,0,1,1.7,104,16,0,79.5,37,—,—,—,—,—,—,—,—,—,—
381,Jake Middleton,Flames,D,—,276.3,77,19,4.6,14.1,'-10.3,55,5,14,1,0,0,0.5,76.4,17.4,0,143.1,119.5,—,—,—,—,—,—,—,—,—,—
382,Collin Graf,Sharks,"LW,RW",—,276.0,77,30,13.1,16.6,0.9,21,13,16,2,0,1,1.2,92,15.4,1.2,44,69.4,—,—,—,—,—,—,—,—,—,—
383,Corey Perry,Kings,RW,—,275.7,81,29,14,14.6,1.2,57,13,13,2,1,1,7.2,102,12.4,5.5,24.7,44.9,—,—,—,—,—,—,—,—,—,—
384,Chris Tanev,Maple Leafs,D,—,275.6,73,17,2.6,14.4,1.7,28,3,14,0,0,0,0.5,69.1,18.6,0,135.8,40.2,—,—,—,—,—,—,—,—,—,—
385,Jack McBain,Utah,"C,LW",—,274.8,78,29,12.4,17,1.1,59,12,16,2,0,0,1.5,85.5,13.1,305.2,50.2,295.6,—,—,—,—,—,—,—,—,—,—
386,Bobby Brink,Wild,RW,—,274.7,70,31,12.6,18.1,3.3,25,10,16,2,2,3,4.9,87.6,13.8,5.5,31.5,71.9,—,—,—,—,—,—,—,—,—,—
387,Ian Cole,Blackhawks,D,—,274.3,81,18,2.9,15.1,'-9.4,56,3,15,0,0,0,0,64.2,18,0,157.5,79.9,—,—,—,—,—,—,—,—,—,—
388,Danila Yurov,Wild,"C,RW",—,274.2,75,29,12.3,16.9,4,32,12,16,2,1,1,1.4,88,14.1,195.6,42.8,73.2,—,—,—,—,—,—,—,—,—,—
389,Yanni Gourde,Lightning,C,—,273.3,81,29,9.9,18.8,5.1,52,9,18,2,0,0,0.9,99,14.9,408.3,37.6,118.9,—,—,—,—,—,—,—,—,—,—
390,Connor Brown,Devils,RW,—,273.1,75,28,11.7,16,1,20,9,13,2,2,2,4,105.5,15.4,14.1,34,32.9,—,—,—,—,—,—,—,—,—,—
391,Nino Niederreiter,Jets,"LW,RW",—,272.7,75,27,12.7,14.5,'-4.2,30,10,10,2,2,5,7.1,112.9,14.3,14.4,31.1,103,—,—,—,—,—,—,—,—,—,—
392,Parker Kelly,Avalanche,"C,LW",—,272.2,83,24,12.5,11.6,6.3,34,11,11,2,0,0,0,89.1,11.9,137.4,58,170.4,—,—,—,—,—,—,—,—,—,—
393,Tom Willander,Canucks,D,—,271.3,79,26,5.3,20.3,'-15,36,5,17,1,0,3,3.5,85,19.9,0,104.8,55.8,—,—,—,—,—,—,—,—,—,—
394,Justin Hryckowian,Stars,"C,LW",—,270.5,82,32,9.3,22.7,4.6,38,9,22,2,0,1,1.3,88.5,14.4,165.8,32.5,149,—,—,—,—,—,—,—,—,—,—
395,Joel Edmundson,Kings,D,—,269.1,79,19,4,14.9,1.8,32,4,15,1,0,0,0.2,84.9,18.3,0,105.1,97.7,—,—,—,—,—,—,—,—,—,—
396,Kaapo Kakko,Kraken,RW,—,268.4,74,37,11.5,25,'-6.1,28,10,21,2,2,4,5.6,88.8,14,11.3,20.5,46.7,—,—,—,—,—,—,—,—,—,—
397,Jake Evans,Canadiens,C,—,268.1,78,29,11.4,17.3,2.4,27,10,16,2,0,0,0.3,78.4,15.2,536.9,54.5,100.2,—,—,—,—,—,—,—,—,—,—
398,Phillip Danault,Canadiens,C,—,268.0,81,29,9.3,19.5,2.4,31,9,18,1,0,0,0.8,91.4,14,591.7,45.5,66.8,—,—,—,—,—,—,—,—,—,—
399,Dylan Samberg,Jets,D,—,267.4,68,18,4,14.2,'-5.5,27,4,14,1,0,0,0.3,85.8,20.7,0,119.8,74.3,—,—,—,—,—,—,—,—,—,—
400,Artyom Levshunov,Blackhawks,D,—,266.4,68,27,4.4,22.4,'-8.4,41,3,13,1,1,9,10.2,82,18.2,0,73,76.1,—,—,—,—,—,—,—,—,—,—
401,J.T. Compher,Red Wings,C,—,265.7,79,29,11,18.2,'-4.2,30,10,17,2,1,1,3.5,85,15.2,433.6,51.8,34.1,—,—,—,—,—,—,—,—,—,—
402,Axel Sandin-Pellikka,Red Wings,D,—,265.3,75,26,6.1,19.4,'-4.3,32,5,13,1,1,7,7.7,83,16.6,0,69.6,32.9,—,—,—,—,—,—,—,—,—,—
403,Fraser Minten,Bruins,C,—,264.9,77,27,13.1,13.7,'-2.5,25,12,12,2,1,2,2.8,100,15.2,341.1,40.9,135.6,—,—,—,—,—,—,—,—,—,—
404,Peyton Krebs,Sabres,"C,LW",—,263.9,81,32,9.9,22.3,1.3,52,10,22,2,0,0,0.5,84,14.1,309.5,36.1,157.8,—,—,—,—,—,—,—,—,—,—
405,Louis Crevier,Sabres,D,—,263.9,77,17,5.1,12.3,1.4,48,5,12,1,0,0,0.3,81.5,16.6,0,107.3,116.5,—,—,—,—,—,—,—,—,—,—
406,Mathieu Olivier,Blue Jackets,RW,—,262.1,67,26,13.2,12.4,'-1.1,70,13,12,2,0,0,0.5,91.7,14.6,4.1,52,221,—,—,—,—,—,—,—,—,—,—
407,Michael Kesselring,Sharks,D,—,261.6,70,17,4.4,13.1,1,63,4,13,1,0,0,0.6,107.6,17.5,0,82.8,77.5,—,—,—,—,—,—,—,—,—,—
408,Tyler Kleven,Senators,D,—,260.4,76,17,4.3,13.2,0.4,41,4,13,1,0,0,0.4,85.2,17.3,0,103.5,114.3,—,—,—,—,—,—,—,—,—,—
409,Ian Moore,Ducks,D,—,259.3,71,21,5,16,2,34,5,16,1,0,0,0.4,89.9,17.2,0,79.6,51.1,—,—,—,—,—,—,—,—,—,—
410,Tristan Luneau,Ducks,D,—,258.8,73,21,5,16,2,27,5,16,1,0,0,0,92,17,0,78,77,—,—,—,—,—,—,—,—,—,—
411,Olli Maatta,Wild,D,—,258.4,75,22,3.3,18.3,4.4,22,3,18,1,0,0,0,63.5,16.3,0,99.4,45.4,—,—,—,—,—,—,—,—,—,—
412,Cody Ceci,Kings,D,—,257.4,83,16,3.1,13,1.8,28,3,12,0,0,0,0,73.2,17.6,0,117.3,78,—,—,—,—,—,—,—,—,—,—
413,Brett Howden,Knights,"C,LW",—,256.2,69,25,13.5,11.6,5.1,39,13,11,2,1,1,1.3,83.1,14.7,259,41.2,104.7,—,—,—,—,—,—,—,—,—,—
414,Alexandre Texier,Canadiens,"LW,RW",—,256.0,70,27,12.1,15.1,2.3,32,11,14,2,1,1,2.3,97.9,13.8,64.1,25.7,70.5,—,—,—,—,—,—,—,—,—,—
415,Emil Heineman,Islanders,"LW,RW",—,255.7,74,23,13.7,9.5,'-3,25,11,8,2,2,1,3.4,103.3,16.3,1.1,41.7,212.8,—,—,—,—,—,—,—,—,—,—
416,Dante Fabbro,Blue Jackets,D,—,255.5,74,17,4.8,11.9,'-1.2,39,5,12,1,0,0,0.3,75.9,15.9,0,112.6,74.5,—,—,—,—,—,—,—,—,—,—
417,Oliver Kapanen,Canadiens,C,—,255.3,74,24,10.9,12.5,2.2,26,10,11,2,1,1,2,95,13.5,217.9,46,34.5,—,—,—,—,—,—,—,—,—,—
418,Sam Steel,Stars,"C,LW",—,254.6,78,30,10.3,19.6,4,31,9,18,2,0,1,1,82.5,14.5,178,30.1,72.2,—,—,—,—,—,—,—,—,—,—
419,Sam Dickinson,Sharks,D,—,254.4,76,20,4,16,1.1,34,4,16,1,0,0,0.4,88,18.1,0,84.2,79.5,—,—,—,—,—,—,—,—,—,—
420,Carter Yakemchuk,Senators,D,—,254.3,75,31,8,23,0,50,7,21,1,1,2,3,87,16,0,30,59,—,—,—,—,—,—,—,—,—,—
421,Ilya Mikheyev,Lightning,"LW,RW",—,254.3,74,26,11.8,13.7,3.9,21,11,13,2,0,0,0,112.5,12.9,3.4,19.6,41.1,—,—,—,—,—,—,—,—,—,—
422,Ryan Shea,Oilers,D,—,253.1,77,19,3.8,15.1,7.7,26,4,15,1,0,0,0.4,63.8,18.7,0,96.3,51.9,—,—,—,—,—,—,—,—,—,—
423,Samuel Girard,Penguins,D,—,253.0,71,22,3.5,18,'-2.1,26,4,18,1,0,0,0.6,73.7,20.7,0,96.7,53.4,—,—,—,—,—,—,—,—,—,—
