#,Player,Team,Pos,ADP,PTS,GP,PTS,G,A,'+/-,PIM,EVG,EVA,GWG,PPG,PPA,PPP,SOG,ATOI,FOW,BLK,HIT,GS,W,L,T/O,SO,SV,GA,SA,SV%,GAA
20,William Nylander,Maple Leafs,"C,RW",42.8,704.9,84,87,36.9,50.2,2,29,29,36,6,8,14,22.9,221.3,19.8,42,33.7,30.3,—,—,—,—,—,—,—,—,—,—
21,Filip Forsberg,Predators,LW,56.1,700.7,81,79,37.9,41,'-5.6,40,26,25,6,11,16,27.7,246.7,19.6,3.9,43.1,137.9,—,—,—,—,—,—,—,—,—,—
22,Brady Tkachuk,Panthers,"C,LW",24.0,696.4,80,71,31.3,39.9,9.3,82,24,28,5,7,12,19.1,288.1,18.1,170.3,32.9,247.1,—,—,—,—,—,—,—,—,—,—
23,Artemi Panarin,Kings,LW,49.7,690.5,81,88,31.9,55.7,1.9,27,25,35,5,6,21,27.3,222,20.2,2.3,18.1,25.6,—,—,—,—,—,—,—,—,—,—
24,Tage Thompson,Sabres,"C,RW",29.7,682.0,79,74,38.9,35.3,1.5,34,31,21,6,8,14,21.9,241.9,20.1,361.4,42.9,89.6,—,—,—,—,—,—,—,—,—,—
25,Clayton Keller,Utah,"LW,RW",45.1,682.0,83,85,28.3,57.1,1.6,37,23,37,4,5,20,25.5,216.4,19.8,26.8,34.8,23.3,—,—,—,—,—,—,—,—,—,—
26,Mikko Rantanen,Stars,"LW,RW",24.9,680.3,79,86,29,56.9,5.4,64,20,34,5,9,23,31.7,180.5,21,108.4,42,61.3,—,—,—,—,—,—,—,—,—,—
27,Jack Hughes,Devils,"C,LW",18.8,679.9,67,81,31,49.5,1.3,20,25,30,5,6,19,25.3,230.4,21.9,204.1,35.3,19.4,—,—,—,—,—,—,—,—,—,—
28,Rasmus Dahlin,Sabres,D,35.8,676.0,81,75,18.2,57,2,63,13,40,3,5,17,21.9,201.1,25.3,0,110,136.6,—,—,—,—,—,—,—,—,—,—
29,Cole Caufield,Canadiens,"LW,RW",18.6,670.9,80,76,39.9,36.6,3,22,29,23,6,11,13,24.2,226.5,18.8,2.5,26.9,62.5,—,—,—,—,—,—,—,—,—,—
30,Sam Reinhart,Panthers,RW,43.1,669.5,82,75,35.7,39.1,9.7,25,21,26,6,12,12,23.5,194.8,20.5,158.1,57.2,89.7,—,—,—,—,—,—,—,—,—,—
31,Jake Guentzel,Lightning,"LW,RW",33.7,667.1,79,79,33,45.5,5.6,40,22,27,5,11,18,29,194.5,19.3,159.2,42.9,50.8,—,—,—,—,—,—,—,—,—,—
32,Brandon Hagel,Lightning,"LW,RW",37.2,659.7,81,80,32.9,47.5,6.1,56,27,37,5,5,9,14.1,203.8,19.9,19.2,48.5,64.8,—,—,—,—,—,—,—,—,—,—
33,Jesper Bratt,Devils,"LW,RW",75.0,650.4,84,87,25.1,61.9,1.2,22,19,39,4,6,22,28.2,177.3,18.7,2.1,33.8,85.2,—,—,—,—,—,—,—,—,—,—
34,Cutter Gauthier,Ducks,"C,LW,RW",33.6,646.9,76,69,32.3,37.1,1.9,30,22,27,5,10,10,20.2,256,18.5,35.4,30.1,71.7,—,—,—,—,—,—,—,—,—,—
35,Mitch Marner,Knights,"C,LW,RW",44.6,642.6,78,85,23.9,61.2,6.5,26,17,38,4,6,23,28.7,152.5,21,50.5,46.8,47.7,—,—,—,—,—,—,—,—,—,—
36,Matthew Schaefer,Islanders,D,34.2,642.4,77,66,18.6,47.1,'-4.5,40,14,34,3,5,13,17.8,221,26.2,0,116.9,52.1,—,—,—,—,—,—,—,—,—,—
37,Alex DeBrincat,Red Wings,"LW,RW",42.1,642.4,82,73,35.1,37.5,'-5,29,23,26,5,12,12,23.5,228.2,18.3,16.9,39.4,67.4,—,—,—,—,—,—,—,—,—,—
38,Moritz Seider,Red Wings,D,55.9,637.7,82,57,10.7,46.2,'-6.8,52,7,22,2,3,23,26.9,154.8,25.4,0,209.2,217.6,—,—,—,—,—,—,—,—,—,—
39,Mark Scheifele,Jets,C,35.2,634.0,80,86,32.1,54.4,'-6.3,43,24,40,5,8,14,22.4,156.8,21.1,585.1,50.5,59.2,—,—,—,—,—,—,—,—,—,—
40,Mika Zibanejad,Rangers,"C,RW",91.9,633.0,83,73,30,43.1,'-5,26,17,27,5,12,14,26.5,203.6,21.2,561.3,54.4,86.4,—,—,—,—,—,—,—,—,—,—
41,Sebastian Aho,Hurricanes,C,81.4,632.7,80,77,30.6,46.1,9.3,40,22,27,5,7,17,24.3,188.6,20.1,602.7,27.8,67.4,—,—,—,—,—,—,—,—,—,—
